کانسپت,برند,دسته,آیتم,قیمت (تومان)
کافه,سام کافه,,املت گوجه و اسفناج,515000
کافه,سام کافه,,سمیت پنیرو تخم مرغ,470000
کافه,سام کافه,,املت با سوسیس,570000
کافه,سام کافه,,املت با پنیر و آووکادو,600000
کافه,سام کافه,,پودینگ چیا با گرانولا,425000
کافه,سام کافه,,ترکیش اگز,515000
کافه,سام کافه,,املت گوجه,440000
کافه,سام کافه,,نیمرو سام,530000
کافه,سام کافه,,پروپینات بار,280000
کافه,سام کافه,,کروسان ساده,270000
کافه,سام کافه,,کروسان تخم مرغ,490000
کافه,سام کافه,,کروسان پنیر و خیار,490000
کافه,سام کافه,,کروسان خامه و مربا,490000
کافه,سام کافه,,کروسان بادام,360000
کافه,سام کافه,,وافل,390000
کافه,سام کافه,,شیربرنج,450000
کافه,سام کافه,,شکلات‌بار,280000
کافه,سام کافه,,V60 اتیوپی کنگا,515000
کافه,سام کافه,,آلبالو زنجبیل,450000
کافه,سام کافه,,فراپه لوندر,415000
کافه,سام کافه,,سرد سام,450000
کافه,سام کافه,,کلدبرو کلاسیک,385000
کافه,سام کافه,,کلد برو با شیر,415000
کافه,سام کافه,,فیزی لایم,415000
کافه,سام کافه,,آبمیوه طبیعی  هندوانه,330000
کافه,سام کافه,,نوشیدنی انبه و اسفناج,450000
کافه,سام کافه,,نوشیدنی شیراز,415000
کافه,سام کافه,,توت‌فرنگی بادام‌زمینی,450000
کافه,سام کافه,,نوشیدنی گل گاوزبان,340000
کافه,سام کافه,,خاکشیر آلوئه‌ورا,415000
کافه,سام کافه,,جینجرلایم,415000
کافه,سام کافه,,رد لیموناد,435000
کافه,سام کافه,,زعفران‌لیمو,435000
کافه,سام کافه,,ماچای سام,450000
کافه,سام کافه,,شکلات سرد,385000
کافه,سام کافه,,آب گازدار,170000
کافه,سام کافه,,آب معدنی,40000
کافه,سام کافه,,دمنوش پاییز,340000
کافه,سام کافه,,بیبی چینو,190000
کافه,سام کافه,,چای سام,370000
کافه,سام کافه,,اپل پامکین,370000
کافه,سام کافه,,ماچا لاته توت فرنگی,415000
کافه,سام کافه,,ماسالا,370000
کافه,سام کافه,,دمنوش کاسکارا,370000
کافه,سام کافه,,دمنوش سیب و به,340000
کافه,سام کافه,,چای سیاه,260000
کافه,سام کافه,,گل گاو زبان,340000
کافه,سام کافه,,چای سبز,260000
کافه,سام کافه,,شکلات داغ,385000
کافه,سام کافه,,گلدن میلک,370000
کافه,سام کافه,,کیک جیم,360000
کافه,سام کافه,,کیک سه شیر,460000
کافه,سام کافه,,شکلات بار,280000
کافه,سام کافه,,رول دارچین,360000
کافه,سام کافه,,کرامبل چای با کرم وانیل,460000
کافه,سام کافه,,براونی,440000
کافه,سام کافه,,چیز کیک سن سباستین,460000
کافه,سام کافه,,کوکی قهوه ﭘﻨﯿﺮ,190000
کافه,سام کافه,,کوکی شکلات تلخ,190000
کافه,سام کافه,,کوکی بادام زمینی,215000
کافه,سام کافه,,کوکی جو (رژﯾﻤﯽ),190000
کافه,سام کافه,,سمیت بوقلمون,590000
کافه,سام کافه,,سالاد فیتنس,715000
کافه,سام کافه,,سالاد مرغ و آووکادو,750000
کافه,سام کافه,,لازانیا,780000
کافه,سام کافه,,ساندویچ مرغ پیچ,590000
کافه,سام کافه,,ساندویچ مرغ کاری,680000
کافه,سام کافه,,ساندویچ مرغ پستو,690000
کافه,سام کافه,,ساندویچ سبزیجات,590000
کافه,سام کافه,,روز اسپرسو,1310000
کافه,سام کافه,,روز دمی,1310000
کافه,سام کافه,,بِلند سام,885000
کافه,سام کافه,,شوکا,1100000
کافه,سام کافه,,عصاره قهوه,400000
کافه,سام کافه,,شیشه کوکی فرانسوی,480000
کافه,سام کافه,,شیشه کوکی تادی,570000
کافه,سام کافه,,بیسکوییت سام x مرکزی,1100000
کافه,سام کافه,,گرانول کرنبری,750000
کافه,سام کافه,,پاپ کرن کاراملی,390000
کافه,سام کافه,,چای دودی,499000
کافه,سام کافه,,چای لاهیجان,449000
کافه,سام کافه,,چای کاکائو,699000
کافه,اکلر,پرطرفدارها,اکلر وانیل اکلر وانیل,230000
کافه,اکلر,پرطرفدارها,اکلر کارامل اکلر کارامل,215000
کافه,اکلر,پرطرفدارها,سنت اونوره وانیل کوچک سنت اونوره وانیل کوچک,260000
کافه,اکلر,پرطرفدارها,سنت اونوره کارامل کوچک سنت اونوره کارامل کوچک,240000
کافه,اکلر,پرطرفدارها,سنت اونوره کارامل بزرگ سنت اونوره کارامل بزرگ,1330000
کافه,اکلر,پرطرفدارها,کنله کنله,165000
کافه,اکلر,پرطرفدارها,پن سوییس پن سوییس,320000
کافه,اکلر,پرطرفدارها,کروسان کروسان,155000
کافه,اکلر,پرطرفدارها,گلت سیب کوچک گلت سیب کوچک,260000
کافه,اکلر,پرطرفدارها,گلت سیب بزرگ گلت سیب بزرگ,830000
کافه,اکلر,پرطرفدارها,گلت بادام (د روآ) کوچک گلت بادام (د روآ) کوچک,290000
کافه,اکلر,پرطرفدارها,گلت بادام (د روآ) بزرگ گلت بادام (د روآ) بزرگ,1060000
کافه,اکلر,پرطرفدارها,کیک ترس لچز متوسط کیک ترس لچز متوسط,1100000
کافه,اکلر,پرطرفدارها,کیک پرنسس متوسط کیک پرنسس متوسط,1600000
کافه,اکلر,پرطرفدارها,کیک صبحانه سیب گردو کوچک کیک صبحانه سیب گردو کوچک,220000
کافه,اکلر,ماکارون ها,ماکارون وانیل ماکارون وانیل,120000
کافه,اکلر,ماکارون ها,ماکارون شکلات تلخ ماکارون شکلات تلخ,120000
کافه,اکلر,ماکارون ها,ماکارون شکلات شیری ماکارون شکلات شیری,120000
کافه,اکلر,ماکارون ها,ماکارون نوتلا ماکارون نوتلا,120000
کافه,اکلر,ماکارون ها,ماکارون پسته ماکارون پسته,120000
کافه,اکلر,ماکارون ها,ماکارون  لوندر ماکارون  لوندر,120000
کافه,اکلر,ماکارون ها,ماکارون کارامل نمکی,120000
کافه,اکلر,کلاسیک های فرانسوی,سنت اونوره وانیل بزرگ سنت اونوره وانیل بزرگ,1420000
کافه,اکلر,کلاسیک های فرانسوی,کیک اپرا کوچک کیک اپرا کوچک,395000
کافه,اکلر,کلاسیک های فرانسوی,کروسان بادام کروسان بادام,380000
کافه,اکلر,کلاسیک های فرانسوی,کروسان پنیر گودا و ریحان کروسان پنیر گودا و ریحان,520000
کافه,اکلر,کلاسیک های فرانسوی,مدلن کوچک مدلن کوچک,85000
کافه,اکلر,کلاسیک های فرانسوی,فینانسیه لیمو و بلوبری,115000
کافه,اکلر,کلاسیک های فرانسوی,کوئین امان,160000
کافه,اکلر,تارت ها,تارت سیب توت فرنگی متوسط,2500000
کافه,اکلر,تارت ها,تارت موز و فندق کوچک تارت موز و فندق کوچک,322000
کافه,اکلر,تارت ها,تارت موز و فندق متوسط تارت موز و فندق متوسط,1390000
کافه,اکلر,تارت ها,تارت نارگیل کوچک تارت نارگیل کوچک,300000
کافه,اکلر,کیک ها,کیک ترس لچز بزرگ کیک ترس لچز بزرگ,1800000
کافه,اکلر,کیک ها,کیک پرنسس بزرگ کیک پرنسس بزرگ,2360000
کافه,اکلر,کیک ها,کیک فریزیه توت فرنگی متوسط,1800000
کافه,اکلر,کیک های صبحانه,کیک صبحانه سیب گردو کیک صبحانه سیب گردو,670000
کافه,اکلر,کوکی ها,کوکی شکلات کارامل,150000
کافه,اکلر,کوکی ها,کوکی پسته رژیمی,196000
کافه,اکلر,کوکی ها,کوکی جو شکلات,195000
کافه,اکلر,کوکی ها,بیسكاتی گردو و پرتقال بیسكاتی گردو و پرتقال,80000
کافه,اکلر,کوکی ها,بسته بیسكاتی گردو و پرتقال (6 عدد) بسته بیسكاتی گردو و پرتقال (6 عدد),480000
کافه,اکلر,کوکی ها,جعبه کوکی کره ای جعبه کوکی کره ای,1394000
کافه,اکلر,دسر ها,تیرامیسو جار,360000
کافه,اکلر,نوشیدنی های قهوه,قهوه دمی قهوه دمی,293000
کافه,اکلر,نوشیدنی های قهوه,اسپرسو اتیوپی,238000
کافه,اکلر,نوشیدنی های قهوه,اسپرسو برزیل اسپرسو برزیل,238000
کافه,اکلر,نوشیدنی های قهوه,اسپرسو ماکیاتو اتیوپی,249000
کافه,اکلر,نوشیدنی های قهوه,اسپرسو ماکیاتو برزیل اسپرسو ماکیاتو برزیل,249000
کافه,اکلر,نوشیدنی های قهوه,آمریکانو اتیوپی,283000
کافه,اکلر,نوشیدنی های قهوه,آمریکانو برزیل آمریکانو برزیل,283000
کافه,اکلر,نوشیدنی های قهوه,لاته اتیوپی,384000
کافه,اکلر,نوشیدنی های قهوه,لاته برزیل لاته برزیل,384000
کافه,اکلر,نوشیدنی های قهوه,کاپوچینو اتیوپی,363000
کافه,اکلر,نوشیدنی های قهوه,کاپوچینو برزیل کاپوچینو برزیل,363000
کافه,اکلر,نوشیدنی های قهوه,موکا اتیوپی,407000
کافه,اکلر,نوشیدنی های قهوه,موکا برزیل موکا برزیل,407000
کافه,اکلر,نوشیدنی های قهوه,کارامل لاته اتیوپی,396000
کافه,اکلر,نوشیدنی های قهوه,کارامل لاته برزیل کارامل لاته برزیل,396000
کافه,اکلر,نوشیدنی های قهوه,آیس آمریکانو اتیوپی,283000
کافه,اکلر,نوشیدنی های قهوه,آیس آمریکانو برزیل آیس آمریکانو برزیل,283000
کافه,اکلر,نوشیدنی های قهوه,آیس لاته اتیوپی,384000
کافه,اکلر,نوشیدنی های قهوه,آیس لاته برزیل آیس لاته برزیل,384000
کافه,اکلر,نوشیدنی های قهوه,آیس موکا اتیوپی,407000
کافه,اکلر,نوشیدنی های قهوه,آیس موکا برزیل آیس موکا برزیل,407000
کافه,اکلر,نوشیدنی های قهوه,آیس کارامل لاته اتیوپی,396000
کافه,اکلر,نوشیدنی های قهوه,آیس کارامل لاته برزیل آیس کارامل لاته برزیل,396000
کافه,اکلر,نوشیدنی های قهوه,کورتادو اتیوپی,257000
کافه,اکلر,نوشیدنی های قهوه,کورتادو برزیل کورتادو برزیل,257000
کافه,اکلر,نوشیدنی های قهوه,Cold Brew,441000
کافه,اکلر,نوشیدنی های قهوه,کلد لاته برزیل کلد لاته برزیل,486000
کافه,اکلر,نوشیدنی های قهوه,کلد کارامل لاته برزیل کلد کارامل لاته برزیل,494000
کافه,اکلر,نوشیدنی های قهوه,فلت وایت اتیوپی,363000
کافه,اکلر,نوشیدنی های قهوه,فلت وایت برزیل فلت وایت برزیل,363000
کافه,اکلر,نوشیدنی های قهوه,هات چاکلت هات چاکلت,397000
کافه,اکلر,شمع و کارت ها,کارت Happy Anniversary کارت Happy Anniversary,25000
کافه,اکلر,شمع و کارت ها,کارت Thank You کارت Thank You,25000
کافه,اکلر,شمع و کارت ها,شمع آبی شمع آبی,56000
کافه,اکلر,شمع و کارت ها,شمع نقره ‏ای شمع نقره ‏ای,56000
کافه,اکلر,شمع و کارت ها,شمع صدفی شمع صدفی,56000
کافه,اکلر,قهوه های بسته بندی شده,دان قهوه آلبا 250 گرمی اتیوپی گوجی,1550000
کافه,اکلر,قهوه های بسته بندی شده,قهوه برزیل 250 گرمی,1430000
کافه,اکلر,قهوه های بسته بندی شده,دان قهوه آلبا 250 گرمی سیدامو,1430000
کافه,اکلر,قهوه های بسته بندی شده,قهوه 250 گرمی اتیوپی ییرگاچف,2250000
کافه,اکلر,قهوه های بسته بندی شده,قهوه 250 گرمی اپرا,1430000
کافه,اکلر,نان,فوکاچیا فوکاچیا,240000
کافه,اکلر,نان,باگت باگت,70000
کافه,اکلر,نان,لوف مولتی گرین لوف مولتی گرین,330000
کافه,اکلر,نان,نان تست گندم سیاه,400000
کافه,اکلر,نوشیدنی ها,آب معدنی,12000
کافه,اکلر,نوشیدنی ها,چای ماچا,340000
کافه,اکلر,نوشیدنی ها,چای هوجیچا,400000
کافه,اکلر,نوشیدنی ها,هوجیچا لاته,526000
کافه,اکلر,نوشیدنی ها,ماچا لاته ماچا لاته,430000
کافه,اکلر,نوشیدنی ها,آیس هوجیچا لاته,526000
کافه,اکلر,نوشیدنی ها,آیس هوجیچا شکلات,670000
کافه,اکلر,نوشیدنی ها,آیس ماچا لاته,430000
کافه,اکلر,نوشیدنی ها,شات آبمیوه G9 شات آبمیوه G9,180000
کافه,اکلر,نوشیدنی ها,آبمیوه Y1 آبمیوه Y1,330000
کافه,اکلر,نوشیدنی ها,شیر بادام شیر بادام,383000
کافه,اکلر,نوشیدنی ها,چای ماسالا چای ماسالا,351000
کافه,اکلر,نوشیدنی ها,چای سیاه دمی,120000
کافه,اکلر,نوشیدنی ها,دمنوش نعنا مراکشی دمنوش نعنا مراکشی,180000
کافه,اکلر,نوشیدنی ها,دمنوش لمون گرس زنجبیل دمنوش لمون گرس زنجبیل,165000
کافه,اکلر,نوشیدنی ها,آیس ماچا توت فرنگی,590000
کافه,اکلر,نوشیدنی ها,آیس ماچا منگو,610000
کافه,اکلر,ساندویچ,نیویورک اگ رول مینیاتور,680000
کافه,اکلر,ساندویچ,ساندویچ تخم مرغ و آووکادو,690000
کافه,اکلر,بلان,کیک کرامبل شکلاتی,600000
کافه,اکلر,بلان,موس پنیر و بلوبری,515000
کافه,اکلر,بلان,کره بادام زمینی,385000
کافه,اکلر,قهوه با شیر بادام,هوجیچا شیربادام,834000
کافه,اکلر,قهوه با شیر بادام,ماچا شیربادام,664000
کافه,اکلر,قهوه با شیر بادام,آیس هوجیچا شیربادام,834000
کافه,اکلر,قهوه با شیر بادام,اسپرسو ماکیاتو شیربادام,302000
کافه,اکلر,قهوه با شیر بادام,اسپرسو ماکیاتو شیربادام ایتالین رست,198000
کافه,اکلر,قهوه با شیر بادام,لاته شیربادام,705000
کافه,اکلر,قهوه با شیر بادام,کاپوچینو شیربادام,610000
کافه,اکلر,قهوه با شیر بادام,موکا شیربادام,728000
کافه,اکلر,قهوه با شیر بادام,موکا شیربادام ایتالین رست,450000
کافه,اکلر,قهوه با شیر بادام,کارامل لاته شیربادام,712000
کافه,اکلر,قهوه با شیر بادام,آیس لاته شیربادام,705000
کافه,اکلر,قهوه با شیر بادام,آیس موکا شیربادام,728000
کافه,اکلر,قهوه با شیر بادام,آیس کارامل لاته شیربادام,712000
کافه,اکلر,قهوه با شیر بادام,کورتادو شیربادام,302000
کافه,اکلر,قهوه با شیر بادام,چای ماسالا با شیربادام,679000
کافه,اکلر,قهوه با شیر بادام,فلت وایت شیربادام,610000
کافه,اکلر,قهوه با شیر بادام,آیس ماچا شیربادام,664000
کافه,اکلر,قهوه با شیر بادام,آیس ماچا منگو با شیر بادام,830000
کافه,اکلر,قهوه های دی کف,شات اضافه دی کف,200000
کافه,اکلر,قهوه های دی کف,اسپرسو دی کف,316000
کافه,اکلر,قهوه های دی کف,اسپرسو ماکیاتو دی کف,328000
کافه,اکلر,قهوه های دی کف,آمریکانو دی کف,363000
کافه,اکلر,قهوه های دی کف,لاته دی کف,467000
کافه,اکلر,قهوه های دی کف,لاته شیربادام دی کف,799000
کافه,اکلر,قهوه های دی کف,کاپوچینو دی کف,445000
کافه,اکلر,قهوه های دی کف,کاپوچینو شیربادام دی کف,709000
کافه,اکلر,قهوه های دی کف,موکا دی کف,486000
کافه,اکلر,قهوه های دی کف,موکا شیربادام دی کف,822000
کافه,اکلر,قهوه های دی کف,کارامل لاته دی کف,476000
کافه,اکلر,قهوه های دی کف,کارامل لاته شیربادام دی کف,811000
کافه,اکلر,قهوه های دی کف,آیس آمریکانو دی کف,363000
کافه,اکلر,قهوه های دی کف,آیس لاته دی کف,467000
کافه,اکلر,قهوه های دی کف,آیس لاته شیربادام دی کف,799000
کافه,اکلر,قهوه های دی کف,آیس موکا دی کف,486000
کافه,اکلر,قهوه های دی کف,آیس موکا شیربادام دی کف,822000
کافه,اکلر,قهوه های دی کف,آیس کارامل لاته دی کف,476000
کافه,اکلر,قهوه های دی کف,آیس کارامل لاته شیربادام دی کف,811000
کافه,اکلر,قهوه های دی کف,کورتادو دی کف,335000
کافه,اکلر,قهوه های دی کف,کورتادو شیربادام دی کف,396000
کافه,اکلر,قهوه های دی کف,فلت وایت دی کف,445000
کافه,اکلر,قهوه های دی کف,فلت وایت شیربادام دی کف,709000
کافه,لمیز,,اسپرسو Espresso تک شات,118800
کافه,لمیز,,"شات 118,800 جفت شات",168800
کافه,لمیز,,Espresso Macchiato تک شات,148800
کافه,لمیز,,"شات 148,800 جفت شات",188800
کافه,لمیز,,Con Panna تک شات,148800
کافه,لمیز,,Espresso Affogato تک شات,158800
کافه,لمیز,,"شات 158,800 جفت شات",198800
کافه,لمیز,,دمی Daily Brew کوچک,188800
کافه,لمیز,,"Brew کوچک 188,800 متوسط",218800
کافه,لمیز,,"188,800 متوسط 218,800 بزرگ",288800
کافه,لمیز,,دستگاهی آمریکانو AMERICANO کوچک,148800
کافه,لمیز,,"AMERICANO کوچک 148,800 متوسط",188800
کافه,لمیز,,"148,800 متوسط 188,800 بزرگ",228800
کافه,لمیز,,کافه لاته LATTE کوچک,178800
کافه,لمیز,,"LATTE کوچک 178,800 متوسط",218800
کافه,لمیز,,"178,800 متوسط 218,800 بزرگ",268800
کافه,لمیز,,کم کپوچینو CAPPUCCINO کوچک,178800
کافه,لمیز,,"CAPPUCCINO کوچک 178,800 متوسط",218800
کافه,لمیز,,ماکیاتو CARAMEL MACCHIATO کوچک,218800
کافه,لمیز,,"MACCHIATO کوچک 218,800 متوسط",258800
کافه,لمیز,,"218,800 متوسط 258,800 بزرگ",288800
کافه,لمیز,,کارامل کورتادو CORTADO متوسط,188000
کافه,لمیز,,کافه موکا MOCHA کوچک,218800
کافه,لمیز,,"MOCHA کوچک 218,800 متوسط",258800
کافه,لمیز,,گرم​ HOT CHOCOLATE​ کوچک,178800
کافه,لمیز,,"CHOCOLATE​ کوچک 178,800 متوسط",198800
کافه,لمیز,,"178,800 متوسط 198,800 بزرگ",248800
کافه,لمیز,,کم ماسالا MASALA کوچک,168800
کافه,لمیز,,"MASALA کوچک 168,800 متوسط",188800
کافه,لمیز,,"168,800 متوسط 188,800 بزرگ",228800
کافه,لمیز,,گرم STEAMED MILK​ کوچک,98800
کافه,لمیز,,"MILK​ کوچک 98,800 متوسط",118800
کافه,لمیز,,"98,800 متوسط 118,800 بزرگ",148800
کافه,لمیز,,لاته PERSIAN LATTE متوسط,248800
کافه,لمیز,,سرد ICED AMERICANO کوچک,148800
کافه,لمیز,,سرد ICED LATTE کوچک,178800
کافه,لمیز,,سرد ICED MOCHA کوچک,218800
کافه,لمیز,,ICED CARAMEL MACCHIATO کوچک,218800
کافه,لمیز,,سرد ICED Cappuccino کوچک,208800
کافه,لمیز,,"Cappuccino کوچک 208,800 متوسط",248800
کافه,لمیز,,"208,800 متوسط 248,800 بزرگ",298800
کافه,لمیز,,سرد ICED chocolate کوچک,178800
کافه,لمیز,,"chocolate کوچک 178,800 متوسط",198800
کافه,لمیز,,چیلو PERSIAN CHILLO متوسط,248800
کافه,لمیز,,چیلو Masala chillo متوسط,318800
کافه,لمیز,,میوه‌ای fruit chillo کوچک,198800
کافه,لمیز,,"chillo کوچک 198,800 متوسط",223800
کافه,لمیز,,"198,800 متوسط 223,800 بزرگ",288800
کافه,لمیز,,with ice cream کوچک,198800
کافه,لمیز,,"cream کوچک 198,800 متوسط",223800
کافه,لمیز,,وانیلی کاپاچیلو cappachillo کوچک,218800
کافه,لمیز,,"cappachillo کوچک 218,800 متوسط",258800
کافه,لمیز,,کاپاچیلو caramel cappachillo کوچک,228800
کافه,لمیز,,"cappachillo کوچک 228,800 متوسط",288800
کافه,لمیز,,"228,800 متوسط 288,800 بزرگ",318800
کافه,لمیز,,چیلو mocha chillo کوچک,228800
کافه,لمیز,,"chillo کوچک 228,800 متوسط",288800
کافه,لمیز,,شکلاتی chocolate chillo کوچک,198800
کافه,لمیز,,ژلاتو cafe gelato متوسط,266800
کافه,لمیز,,Green Iced Tea متوسط,123800
کافه,لمیز,,Black Iced Tea متوسط,123800
کافه,لمیز,,Barberry Iced Tea متوسط,208800
کافه,لمیز,,هات‌چاکلت CocoChill Hot Chocolate,248800
کافه,لمیز,,میپل لاته Maple Latte,228800
کافه,لمیز,,جینجر موکا Ginger Mocha,268800
کافه,لمیز,,ماچا MATCHA TEA کوچک,238800
کافه,لمیز,,"TEA کوچک 238,800 متوسط",268800
کافه,لمیز,,"238,800 متوسط 268,800 بزرگ",298800
کافه,لمیز,,لاته MATCHA LATTE کوچک,236800
کافه,لمیز,,"LATTE کوچک 236,800 متوسط",298800
کافه,لمیز,,"236,800 متوسط 298,800 بزرگ",336800
کافه,لمیز,,ICED MATCHA LATTE کوچک,236800
کافه,لمیز,,یخ ماچاچیلو MATCHACHILLO کوچک,248800
کافه,لمیز,,"MATCHACHILLO کوچک 248,800 متوسط",318800
کافه,لمیز,,"248,800 متوسط 318,800 بزرگ",368800
کافه,لمیز,,ماچا گاتو matchagato متوسط,268800
کافه,لمیز,,وانیلی ایمپریال imperial متوسط,238800
کافه,لمیز,,آووکادو Avocado Smoothie متوسط,598800
کافه,لمیز,,Avocado Cocoa Smoothie متوسط,598800
کافه,لمیز,,سلامت wellness smoothie متوسط,338800
کافه,لمیز,,کافی Protein Coffee متوسط,398800
کافه,لمیز,,Moringa Protein Shake متوسط,388800
کافه,لمیز,,Chocolate Protein Shake متوسط,388800
کافه,لمیز,,Blue Spirulina Bowl متوسط,388800
کافه,لمیز,,Super Matcha Bowl متوسط,388800
کافه,لمیز,,گلوله/کره BULLETPROOF COFFEE/Butter متوسط,198800
کافه,لمیز,,BULLETPROOF COFFEE/COCONUT Oil متوسط,228800
کافه,لمیز,,زردچوبه TURMERIC LATTE​ متوسط,178800
کافه,لمیز,,Avocado Toast with Chili,498800
کافه,لمیز,,Avocado Toast with Balsamic,498800
کافه,لمیز,,Turkey and Mustard Toast,458800
کافه,لمیز,,تست پستو Pesto Toast,458800
کافه,لمیز,,with Cheese and Walnut,198800
کافه,لمیز,,with Cheese and Jam,198800
کافه,لمیز,,Banana and Chocolate Toast,288800
کافه,لمیز,,and Peanut Butter Toast,288800
کافه,لمیز,,Butter and Jam Toast,198800
کافه,لمیز,,Butter and Banana Toast,228800
کافه,لمیز,,تست فرانسوی french toast,168800
کافه,لمیز,,Avocado with Chili croissant,468800
کافه,لمیز,,Avocado croissants with balsamic,468800
کافه,لمیز,,Turkey and Mustard Croissant,368800
کافه,لمیز,,کراسان پستو Pesto Croissant,398800
کافه,لمیز,,butter and jam croissants,198800
کافه,لمیز,,شکلات chocolate banana croissant,288800
کافه,لمیز,,گردو Walnut cheese croissant,198800
کافه,لمیز,,Cheese and jam croissants,198800
کافه,لمیز,,Butter and Banana croissant,288800
کافه,لمیز,,and Peanut Butter Croissant,288800
کافه,لمیز,,بادام کراسان ساده CROISSANT,148800
کافه,لمیز,,شکلاتی PAIN AU CHOCOLAT,198800
کافه,لمیز,,میله ای گاتا GATA,178800
کافه,لمیز,,دنیش کرم شیر DANISH,98800
کافه,لمیز,,ترن اور CHERRY TURNOVER,188800
کافه,لمیز,,ترن اور APPLE TURNOVER,188800
کافه,لمیز,,بادام درختی ALMOND GALETTE,218800
کافه,لمیز,,بادام زمینی PEANUT GALETTE,188800
کافه,لمیز,,سیب لمیز Apple Galette,218800
کافه,لمیز,,چاکلت توئیست CHOCOLATE TWIST,188800
کافه,لمیز,,شکلات چیپسی ریکوردات RICORDAT,178800
کافه,لمیز,,رول دارچین CINNAMON ROLL,158800
کافه,لمیز,,ترش sourdough loaf bread,168800
کافه,لمیز,,لوف بریوش brioche loaf,228800
کافه,لمیز,,لمیز chocolate brioche bread,268800
کافه,لمیز,,شکلات Chocolate Vanilla Loaf,98800
کافه,لمیز,,گردو Banana walnut loaf,98800
کافه,لمیز,,کشمش OATMEAL RAISIN COOKIE,118800
کافه,لمیز,,زمینی لمیز Peanut cookie,99800
کافه,لمیز,,بادام ALMOND CHOCOLATE COOKIE,128800
کافه,لمیز,,چاکلت DARK CHOCOLATE COOKIE,128800
کافه,لمیز,,کتو لمیز KETO COOKIE,188800
کافه,لمیز,,بار لمیز ENERGY BAR,168800
کافه,لمیز,,براونی لمیز Chocolate Brownie,218800
کافه,لمیز,,کره حیوانی تیرامیسو TIRAMISU,288800
کافه,لمیز,,تیرامیسو لمیز TIRAMISU LAMIZ,268800
کافه,لمیز,,تارت بادام ALMOND TART,288800
کافه,لمیز,,شکلات CHOCOLATE MOUSSE CAKE,348800
کافه,لمیز,,کیک هویج Carrot cake,258800
کافه,لمیز,,CHOCOLATE RASPBERRY MOUSSE CAKE,338800
کافه,لمیز,,رزبری کیک مدوویک Medovik,298800
کافه,لمیز,,شیر Three milk cake,298800
کافه,لمیز,,San Sebastian CHEESECAKE lamiz,218800
کافه,لمیز,,کارامل CHEESECAKE Caramel Toffee,338800
کافه,لمیز,,لمیز Chocolate Dessert Cup,388800
کافه,لمیز,,اونوره لمیز Saint Honoré,288800
کافه,لمیز,,لاویا Clever La Villa,298800
کافه,لمیز,,کاستاریکا V60 Costa Rica,288800
کافه,لمیز,,لاویا v60 La Villa,298800
کافه,لمیز,,کاستاریکا Clever Costa Rica,268800
کافه,لمیز,,لاهیجان lahijan tea متوسط,108800
کافه,لمیز,,"tea متوسط 108,800 بزرگ",123800
کافه,لمیز,,لمیز black tea متوسط,108800
کافه,لمیز,,سبز green tea متوسط,108800
کافه,لمیز,,دم zen garden متوسط,108800
کافه,لمیز,,Berry Hibiscus Sip متوسط,108800
کافه,لمیز,,دم Tranquili Tea متوسط,108800
کافه,لمیز,,دم Verbena Refresh متوسط,108800
کافه,لمیز,,خواب Sleepy Due متوسط,108800
کافه,لمیز,,بازدم Sereni-Tea Glow متوسط,108800
کافه,لمیز,,به دم Vitali-Tea متوسط,108800
کافه,لمیز,,یخی قهوه Coffee Popsicle,98800
کافه,لمیز,,یخی لیمو Lime Popsicle,98800
کافه,لمیز,,یخی آلبالو cherry Popsicle,98800
کافه,لمیز,,بستنی پرشین Persian IceCream,178800
کافه,لمیز,,بستنی ماچا Matcha IceCream,178800
کافه,لمیز,,بستنی ماسالا Masala Icecream,178800
کافه,لمیز,,بستنی شکلات Chocolate IceCream,178800
کافه,لمیز,,Butter Protein Ice Cream,178800
کافه,لمیز,,بدون قند عسل HONEY,15000
کافه,لمیز,,بدون کافئین DECAF COFFEE,90000
کافه,لمیز,,"90,000 خامه Whipped CREAM",30000
کافه,لمیز,,طعم دهنده‌ FLAVORED SYRUP,25000
کافه,لمیز,,اضافه EXTRA ESPRESSO SHOT,60000
کافه,لمیز,,اضافه Almond milk shot,15000
کافه,لمیز,,کوچک Small almond milk,80000
کافه,لمیز,,متوسط medium almond milk,100000
کافه,لمیز,,بزرگ Big almond milk,120000
کافه,لمیز,,"milk 120,000 موز banana",45000
کافه,لمیز,,بادام زمینی peanut butter,50000
کافه,لمیز,,پروتئین وی کاله Protein,185000
کافه,لمیز,,"Protein 185,000 ژامبون jambon",60000
کافه,لمیز,,imperial ساشه کلاژن Collagen,98800
کافه,لمیز,,اپوویتال اضافه Apovital Protein,255000
کافه,لمیز,,جایگزین With Apovital Protein,178800
کافه,لمیز,,Extra Ice Cream Scoop,30000
کافه,لمیز,,"30,000 چیا‌سید Chia Seeds",12500
کافه,لمیز,,"Seeds 12,500 گرانولا Granola",30000
کافه,لمیز,,سیروپ عسل HONEY SYRUP,40000
کافه,رئیس,,تاپینگ پیشنهادات ویژه بیسکوگاتو,340000
کافه,رئیس,,آیس ماچا استرابری,400000
کافه,رئیس,,1 - اسپرسو اسپشیالتی,520000
کافه,رئیس,,1 - استرابری کراش,390000
کافه,رئیس,,1 - اسپرسو اسپرسو,228000
کافه,رئیس,,اسپرسو کن پانا,246000
کافه,رئیس,,1 - اسپرسو ماکیاتو,246000
